"external_id"
MLB4143449786
MLB4143473884
MLB3490252027
MLB4184681430
MLB3501189097
MLB4100120566
MLB4100108120
MLB4100108562
MLB3468984795
MLB4107284688
MLB4100108686
MLB3507500269
MLB4143435348
MLB4153211736
MLB4143473860
MLB4149828370
MLB4142847734
MLB4168814126
MLB4198070734
MLB41428478080
MLB4113622082
MLB4152818756
MLB4170313546
MLB3485748177
MLB4140914406
MLB3485827999
MLB4131463492
MLB3493183405
MLB4213280518
MLB4156385268
MLB4155058712
MLB3511341985
MLB4214473742
MLB3491863413
MLB4154945270
MLB4154907030
MLB4210007984
MLB3502354085
MLB4154586350
MLB3513203913
MLB4170688310
MLB4170301028
MLB4152921036
MLB3486954263
MLB4149403532
MLB4150992782
MLB4153688066
MLB3491043639
MLB3487151105
MLB4139279872
MLB3491849029
MLB4143005370
MLB4143461578
MLB4152749014
MLB4152629546
MLB3512492283
MLB4208947026
MLB4149787338
MLB3490181171
MLB3511999403
MLB3490431183
MLB4150930430
MLB4149794974
MLB3486739463
MLB4151005762
MLB4148056782
MLB4142657202
MLB4138801004
MLB3485021161
MLB3485297777
MLB4149404904
MLB3484834051
MLB4197631800
MLB4142919548
MLB3484478271
MLB3513130947
MLB4153040048
MLB3479732083
MLB3486625245
MLB3482068645
MLB4123450706
MLB4113619186
MLB3478127075
MLB4124925024
MLB4119289410
MLB3475833231
MLB4115730544
MLB3477558393
MLB4116273164
MLB4205058752
MLB3510871971
MLB4195309724
MLB3508762289
MLB4187199204
MLB4186732744
MLB3504520409
MLB4186886134
MLB4213000096
MLB4213041518
MLB4186633264
MLB4186534644
MLB4186598398
MLB4197532846
MLB4186528170
MLB3513662753
MLB3504088137
MLB3503928605
MLB4186431996
MLB4186432764
MLB3503850525
MLB4186389570
MLB4186377958
MLB4209971694
MLB3503933041
MLB3503863503
MLB3503771777
MLB4186007842
MLB3503820823
MLB3512628619
MLB4185936060
MLB4186071032
MLB3503737031
MLB4185948104
MLB4206763440
MLB3503750747
MLB4186020498
MLB4185905948
MLB4185793922
MLB3503666549
MLB3503640883
MLB3503608949
MLB3503596459
MLB3503509209
MLB3503484869
MLB3503475815
MLB4185328994
MLB4185292276
MLB4184911638
MLB3500613739
MLB3503290555
MLB4202589380
MLB3509179615
MLB3507409147
MLB4206739046
MLB4214490082
MLB3516590063
MLB4222468140
MLB4287011062
MLB3545798169
