id,status,amount,updated_at,error
MLB3599476503,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3599476503 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360863607,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360863607 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360863559,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360863559 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360920965,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360920965 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360875495,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360875495 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3754112252,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3754112252 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360863463,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360863463 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360933047,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360933047 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
MLB3360858345,Erro ao pausar anúncio no ML,,,"{'message': 'Cannot update item MLB3360858345 [status:under_review, has_bids:false]', 'error': 'validation_error', 'status': 400, 'cause': [{'department': 'items', 'cause_id': 340, 'type': 'error', 'code': 'item.status.not_modifiable', 'references': ['status'], 'message': 'status is not modifiable.'}]}"
