id,status,amount,updated_at
MLB2800630174,paused,0,2024-01-25T13:11:06.920Z
MLB2800742637,paused,0,2024-01-25T13:11:07.284Z
MLB2800675023,paused,0,2024-01-25T13:11:07.644Z
MLB2800630128,paused,0,2024-01-25T13:11:08.005Z
MLB2800605042,paused,0,2024-01-25T13:11:08.431Z
MLB2800724247,paused,0,2024-01-25T13:11:08.832Z
MLB2800730631,paused,0,2024-01-25T13:11:09.256Z
MLB2800611174,paused,0,2024-01-25T13:11:09.623Z
MLB2800611180,paused,0,2024-01-25T13:11:10.023Z
MLB2800685852,paused,0,2024-01-25T13:11:10.399Z
MLB2800605341,paused,0,2024-01-25T13:11:10.830Z
MLB2800724489,paused,0,2024-01-25T13:11:11.287Z
MLB2800737074,paused,0,2024-01-25T13:11:11.626Z
MLB2800730538,paused,0,2024-01-25T13:11:11.976Z
MLB2800611309,paused,0,2024-01-25T13:11:12.420Z
MLB2800685848,paused,0,2024-01-25T13:11:12.791Z
MLB2800724370,paused,0,2024-01-25T13:11:13.399Z
MLB2800604900,paused,0,2024-01-25T13:11:13.746Z
MLB2800674578,paused,0,2024-01-25T13:11:14.093Z
MLB2800736654,paused,0,2024-01-25T13:11:14.470Z
MLB2800680040,paused,0,2024-01-25T13:11:14.839Z
MLB2800674710,paused,0,2024-01-25T13:11:15.210Z
MLB2800724006,paused,0,2024-01-25T13:11:15.568Z
MLB2800685437,paused,0,2024-01-25T13:11:15.926Z
MLB2800679775,paused,0,2024-01-25T13:11:16.418Z
MLB2800679772,paused,0,2024-01-25T13:11:16.820Z
MLB2800742076,paused,0,2024-01-25T13:11:17.265Z
MLB2800742316,paused,0,2024-01-25T13:11:17.630Z
MLB2800629650,paused,0,2024-01-25T13:11:18.010Z
MLB2800610927,paused,0,2024-01-25T13:11:18.478Z
MLB2800628814,paused,0,2024-01-25T13:11:18.838Z
MLB2800685672,paused,0,2024-01-25T13:11:19.308Z
MLB2800730671,paused,0,2024-01-25T13:11:19.668Z
MLB2800724268,paused,0,2024-01-25T13:11:20.128Z
MLB2800680043,paused,0,2024-01-25T13:11:20.525Z
MLB2799962074,paused,0,2024-01-25T13:11:20.944Z
MLB2799938373,paused,0,2024-01-25T13:11:21.309Z
MLB2799912387,paused,0,2024-01-25T13:11:21.668Z
MLB2799901792,paused,0,2024-01-25T13:11:22.007Z
MLB2799937662,paused,0,2024-01-25T13:11:22.385Z
MLB2799896100,paused,0,2024-01-25T13:11:22.724Z
MLB2800678926,paused,0,2024-01-25T13:11:23.085Z
MLB2800729283,paused,0,2024-01-25T13:11:23.454Z
MLB2800724042,paused,0,2024-01-25T13:11:23.819Z
MLB2800723639,paused,0,2024-01-25T13:11:24.160Z
MLB2800742891,paused,0,2024-01-25T13:11:24.769Z
MLB2800748748,paused,0,2024-01-25T13:11:25.131Z
MLB2800629232,paused,0,2024-01-25T13:11:25.501Z
MLB2800604247,paused,0,2024-01-25T13:11:25.857Z
MLB2800604348,paused,0,2024-01-25T13:11:26.212Z
MLB2800610630,paused,0,2024-01-25T13:11:26.552Z
MLB2800679521,paused,0,2024-01-25T13:11:26.907Z
MLB2800742051,paused,0,2024-01-25T13:11:27.251Z
MLB2800723733,paused,0,2024-01-25T13:11:27.613Z
MLB2800629539,paused,0,2024-01-25T13:11:27.953Z
MLB2800610632,paused,0,2024-01-25T13:11:28.356Z
MLB2800674020,paused,0,2024-01-25T13:11:28.724Z
MLB2799925873,paused,0,2024-01-25T13:11:29.088Z
MLB2799968726,paused,0,2024-01-25T13:11:29.541Z
MLB2800600874,paused,0,2024-01-25T13:11:29.912Z
MLB2800467158,paused,0,2024-01-25T13:11:30.287Z
MLB2800486090,paused,0,2024-01-25T13:11:30.657Z
MLB2800606996,paused,0,2024-01-25T13:11:31.033Z
MLB2799937695,paused,0,2024-01-25T13:11:31.462Z
MLB2799901850,paused,0,2024-01-25T13:11:31.985Z
MLB2799949219,paused,0,2024-01-25T13:11:32.344Z
MLB2799883634,paused,0,2024-01-25T13:11:32.707Z
MLB2799943537,paused,0,2024-01-25T13:11:33.057Z
MLB2799908232,paused,0,2024-01-25T13:11:33.431Z
MLB2799937543,paused,0,2024-01-25T13:11:33.776Z
MLB2799931279,paused,0,2024-01-25T13:11:34.216Z
MLB2799896145,paused,0,2024-01-25T13:11:34.561Z
MLB2799938756,paused,0,2024-01-25T13:11:34.881Z
MLB2800675386,paused,0,2024-01-25T13:11:35.323Z
MLB2799962355,paused,0,2024-01-25T13:11:35.664Z
MLB2799925775,paused,0,2024-01-25T13:11:36.062Z
MLB2799890309,paused,0,2024-01-25T13:11:36.460Z
MLB2799938111,paused,0,2024-01-25T13:11:36.791Z
MLB2800674094,paused,0,2024-01-25T13:11:37.175Z
MLB2799962363,paused,0,2024-01-25T13:11:37.584Z
MLB2799956210,paused,0,2024-01-25T13:11:37.915Z
MLB2799912460,paused,0,2024-01-25T13:11:38.299Z
MLB2800455057,paused,0,2024-01-25T13:11:58.884Z
MLB2799950263,paused,0,2024-01-25T13:11:59.308Z
MLB2799902939,paused,0,2024-01-25T13:11:59.725Z
MLB2800603858,paused,0,2024-01-25T13:12:00.114Z
MLB2799968661,paused,0,2024-01-25T13:12:00.481Z
MLB2799962536,paused,0,2024-01-25T13:12:00.840Z
MLB2800685424,paused,0,2024-01-25T13:12:01.305Z
MLB2799925652,paused,0,2024-01-25T13:12:01.671Z
MLB2800628921,paused,0,2024-01-25T13:12:02.039Z
MLB2800603919,paused,0,2024-01-25T13:12:02.479Z
MLB2800723127,paused,0,2024-01-25T13:12:23.121Z
MLB2800729505,paused,0,2024-01-25T13:12:23.494Z
MLB2800723010,paused,0,2024-01-25T13:12:23.857Z
MLB2799943840,paused,0,2024-01-25T13:12:24.306Z
MLB2799902191,paused,0,2024-01-25T13:12:24.667Z
MLB2799925201,paused,0,2024-01-25T13:12:25.029Z
MLB2799901968,paused,0,2024-01-25T13:12:25.428Z
MLB2800673988,paused,0,2024-01-25T13:12:25.766Z
MLB2800723159,paused,0,2024-01-25T13:12:26.146Z
MLB2800735909,paused,0,2024-01-25T13:12:26.517Z
MLB2800591331,paused,0,2024-01-25T13:12:26.900Z
MLB2799955721,paused,0,2024-01-25T13:12:27.288Z
MLB2799902378,paused,0,2024-01-25T13:12:27.662Z
MLB2799925353,paused,0,2024-01-25T13:12:28.109Z
MLB2799902381,paused,0,2024-01-25T13:12:28.441Z
MLB2799949705,paused,0,2024-01-25T13:12:28.836Z
MLB2800685340,paused,0,2024-01-25T13:12:29.223Z
MLB2800629760,paused,0,2024-01-25T13:12:29.637Z
MLB2800610657,paused,0,2024-01-25T13:12:30.008Z
MLB2800723979,paused,0,2024-01-25T13:12:30.445Z
MLB2800604746,paused,0,2024-01-25T13:12:30.825Z
MLB2800736576,paused,0,2024-01-25T13:12:31.200Z
MLB2800679708,paused,0,2024-01-25T13:12:31.587Z
MLB2800723797,paused,0,2024-01-25T13:12:31.922Z
MLB2800685355,paused,0,2024-01-25T13:12:32.289Z
MLB2800723813,paused,0,2024-01-25T13:12:32.644Z
MLB2800723164,paused,0,2024-01-25T13:12:33.019Z
MLB2800681005,paused,0,2024-01-25T13:12:33.419Z
MLB2800680396,paused,0,2024-01-25T13:12:33.822Z
MLB2800724575,paused,0,2024-01-25T13:12:34.192Z
MLB2800674879,paused,0,2024-01-25T13:12:34.636Z
MLB2800680486,paused,0,2024-01-25T13:12:34.996Z
MLB2800611517,paused,0,2024-01-25T13:12:35.372Z
MLB2800680481,paused,0,2024-01-25T13:12:35.778Z
MLB2800680397,paused,0,2024-01-25T13:12:36.130Z
MLB2799950039,paused,0,2024-01-25T13:12:36.579Z
MLB2799949740,paused,0,2024-01-25T13:12:36.931Z
MLB2799908825,paused,0,2024-01-25T13:12:37.339Z
MLB2799902382,paused,0,2024-01-25T13:12:37.730Z
MLB2799955727,paused,0,2024-01-25T13:12:38.131Z
MLB2799912840,paused,0,2024-01-25T13:12:38.534Z
MLB2799955730,paused,0,2024-01-25T13:12:38.899Z
MLB2799949713,paused,0,2024-01-25T13:12:39.341Z
MLB2799912842,paused,0,2024-01-25T13:12:39.695Z
MLB2799955683,paused,0,2024-01-25T13:12:40.060Z
MLB2799938584,paused,0,2024-01-25T13:12:40.514Z
MLB2799944329,paused,0,2024-01-25T13:12:40.888Z
MLB2800680443,paused,0,2024-01-25T13:12:41.320Z
MLB2800736926,paused,0,2024-01-25T13:12:41.713Z
MLB2799908251,paused,0,2024-01-25T13:12:42.098Z
MLB2799944012,paused,0,2024-01-25T13:12:42.476Z
MLB2799912978,paused,0,2024-01-25T13:12:42.850Z
MLB2799912802,paused,0,2024-01-25T13:12:43.285Z
MLB2799949671,paused,0,2024-01-25T13:12:43.698Z
MLB2799925327,paused,0,2024-01-25T13:12:44.045Z
MLB2799955701,paused,0,2024-01-25T13:12:44.626Z
MLB2799890369,paused,0,2024-01-25T13:12:45.006Z
MLB2799912808,paused,0,2024-01-25T13:12:45.376Z
MLB2799943460,paused,0,2024-01-25T13:12:45.774Z
MLB2799962217,paused,0,2024-01-25T13:12:46.141Z
MLB2799949809,paused,0,2024-01-25T13:12:46.536Z
MLB2799896642,paused,0,2024-01-25T13:13:07.160Z
MLB2799912438,paused,0,2024-01-25T13:13:07.555Z
MLB2799889896,paused,0,2024-01-25T13:13:07.924Z
MLB2799943489,paused,0,2024-01-25T13:13:28.621Z
MLB2799913116,paused,0,2024-01-25T13:13:29.003Z
MLB2799901941,paused,0,2024-01-25T13:13:29.372Z
MLB2799883956,paused,0,2024-01-25T13:13:29.751Z
MLB2799896675,paused,0,2024-01-25T13:13:30.099Z
MLB2799896220,paused,0,2024-01-25T13:13:30.494Z
MLB2800485175,paused,0,2024-01-25T13:13:30.873Z
MLB2799883650,paused,0,2024-01-25T13:13:31.258Z
MLB2799937794,paused,0,2024-01-25T13:13:31.639Z
MLB2799883993,paused,0,2024-01-25T13:13:32.016Z
MLB2799902120,paused,0,2024-01-25T13:13:32.412Z
MLB2799883991,paused,0,2024-01-25T13:13:32.798Z
MLB2799908604,paused,0,2024-01-25T13:13:33.176Z
MLB2799937973,paused,0,2024-01-25T13:13:33.564Z
MLB2799949321,paused,0,2024-01-25T13:13:33.949Z
MLB2799890416,paused,0,2024-01-25T13:13:34.324Z
MLB2799908837,paused,0,2024-01-25T13:13:34.686Z
MLB2799912985,paused,0,2024-01-25T13:13:35.061Z
MLB2799883862,paused,0,2024-01-25T13:13:35.452Z
MLB2799908474,paused,0,2024-01-25T13:13:35.902Z
MLB2799937989,paused,0,2024-01-25T13:13:36.300Z
MLB2799912914,paused,0,2024-01-25T13:13:36.674Z
MLB2799912450,paused,0,2024-01-25T13:13:37.035Z
MLB2799931250,paused,0,2024-01-25T13:13:37.399Z
MLB2799943579,paused,0,2024-01-25T13:13:37.784Z
MLB2799938479,paused,0,2024-01-25T13:13:38.180Z
MLB2799925611,paused,0,2024-01-25T13:13:38.566Z
MLB2799902154,paused,0,2024-01-25T13:13:38.928Z
MLB2799943488,paused,0,2024-01-25T13:13:39.300Z
MLB2799955760,paused,0,2024-01-25T13:13:39.665Z
MLB2799912472,paused,0,2024-01-25T13:13:40.019Z
MLB2799938019,paused,0,2024-01-25T13:13:40.377Z
MLB2799925179,paused,0,2024-01-25T13:13:40.763Z
MLB2799936911,paused,0,2024-01-25T13:13:41.238Z
MLB2799936950,paused,0,2024-01-25T13:13:41.636Z
